DATASET,NOTES,PK,PATIENT.ID,EVENT,CLOSEST.DATE,CLOSEST.DATE.EVENT,HB,HCT,RCC,MCV,RETIC,PRBC,WEIGHT,MAJOR.BLEED,ON.PUMP,CS.URGENCY,DIAGNOSIS,TREATMENT,RAW.DATA
DS1,,Primary.Key,Patient.ID,HOSP.DISCHARGE,X,DISCHARGE,none,none,none,none,none,none,none,none,none,none,none,none,none
DS1,,Primary.Key,Patient.ID,FINAL.PATHOLOGY,X,DISCHARGE,Last.Hb,none,none,none,none,none,none,none,none,none,none,none,Last.Hb
DS1,,Primary.Key,Patient.ID,POSTOPERATIVE.PATHOLOGY,ICU.adm.date.Time,ICU.ADMISSION,Hb.1,none,none,none,none,none,none,none,none,none,none,none,Hb.1
DS7B,,Primary.Key,Patient.ID,PAM.INITIAL.PATHOLOGY,Date.of.Contact,PAM.INITIAL.CONTACT,Hb,none,RCC,MCV,none,none,none,none,none,none,Anaemia.Type..eg..IDA..Unknown.origin.,none,Hb RCC MCV Anaemia.Type..eg..IDA..Unknown.origin.
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT,Date.referred.to.CNC,PAM.ADMISSION,none,none,none,none,none,none,none,none,none,none,none,Treatment.Required..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked If.applicable...Specialist.Details..Type...Appt..Date.,none
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT,Date.of.Contact,PAM.INITIAL.CONTACT,none,none,none,none,none,none,none,none,none,none,none,Treatment.Required..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked If.applicable...Specialist.Details..Type...Appt..Date.,none
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT,Treatment.Required..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked If.applicable...Specialist.Details..Type...Appt..Date.,PAM.TREATMENT,none,none,none,none,none,none,none,none,none,none,none,Treatment.Required..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked If.applicable...Specialist.Details..Type...Appt..Date.,none
DS7B,,Primary.Key,Patient.ID,PAM.FOLLOW.UP.PATHOLOGY,Follow.up.Pathology.Date,PAM.FOLLOW.UP.PATHOLOGY,Hb.1,none,RCC.1,MCV.1,Retic,none,none,none,none,none,none,none,Hb.1 RCC.1 MCV.1 Retic
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT.CURTAIL,Date.referred.to.CNC,PAM.ADMISSION,none,none,none,none,none,none,none,none,none,none,all.cols ((book|treat|tx).*(before|pri).*(assess|complet)),none,none
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT.CURTAIL,Date.of.Contact,PAM.INITIAL.CONTACT,none,none,none,none,none,none,none,none,none,none,all.cols ((book|treat|tx).*(before|pri).*(assess|complet)),none,none
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT.CURTAIL,Follow.up.Pathology.Date,PAM.FOLLOW.UP.PATHOLOGY,none,none,none,none,none,none,none,none,none,none,all.cols ((book|treat|tx).*(before|pri).*(assess|complet)),none,none
DS7B,,Primary.Key,Patient.ID,PAM.TREATMENT.CURTAIL,Surgery.Date,SURGERY,none,none,none,none,none,none,none,none,none,none,all.cols ((book|treat|tx).*(before|pri).*(assess|complet)),none,none
DS7B,,Primary.Key,Patient.ID,PREOPERATIVE.MORTALITY,Follow.up.Pathology.Date,PAM.FOLLOW.UP.PATHOLOGY,none,none,none,none,none,none,none,none,none,none,all.cols (deceas),none,none
DS7B,,Primary.Key,Patient.ID,PREOPERATIVE.MORTALITY,Date.of.Contact,PAM.INITIAL.CONTACT,none,none,none,none,none,none,none,none,none,none,all.cols (deceas),none,none
DS7B,,Primary.Key,Patient.ID,PREOPERATIVE.PATHOLOGY,Date.of.Admission,HOSP.ADMISSION,Preop.Hb,none,none,none,none,none,none,none,none,none,none,none,Preop.Hb
DS7.B,No Data - Exclude,Primary.Key,Patient.ID,PREOPERATIVE.PRBC,Date.of.Admission,HOSP.ADMISSION,none,none,none,none,none,Preop.RBC....of.units.,none,none,none,none,none,none,Date.of.Admission
DS7B,,Primary.Key,Patient.ID,PREOPERATIVE.PATHOLOGY,Surgery.Date,SURGERY,Preop.Hb,none,none,none,none,none,none,none,none,none,none,none,Preop.Hb
DS7.B,No Data - Exclude,Primary.Key,Patient.ID,PREOPERATIVE.PRBC,Surgery.Date,SURGERY,none,none,none,none,none,Preop.RBC....of.units.,none,none,none,none,none,none,Preop.RBC....of.units.
DS7B,,Primary.Key,Patient.ID,SURGERY,Surgery.Date,SURGERY,none,none,none,none,none,none,none,none,none,Surgical.Category..1..2..3.,none,none,Surgical.Category..1..2..3.
DS7.B,No Data - Exclude,Primary.Key,Patient.ID,INTRAOPERATIVE.PRBC,Surgery.Date,SURGERY,none,none,none,none,none,Intraop.RBC....of.units.,none,none,none,none,none,none,Intraop.RBC....of.units.
DS7B,,Primary.Key,Patient.ID,POSTOPERATIVE.PATHOLOGY,Surgery.Date,SURGERY,Postop.Hb,none,none,none,none,none,none,none,none,none,none,none,Postop.Hb
DS7B,,Primary.Key,Patient.ID,POSTOPERATIVE.PATHOLOGY,Surgery.Date,SURGERY,Lowest.Post.op.Hb,none,none,none,none,none,none,none,none,none,none,none,Lowest.Post.op.Hb
DS7.B,No Data - Exclude,Primary.Key,Patient.ID,POSTOPERATIVE.PRBC,Surgery.Date,SURGERY,none,none,none,none,none,X0.48hrs.RBC....of.units. X49hrs...D.C.RBC....of.units.,none,none,none,none,none,none,X0.48hrs.RBC....of.units. X49hrs...D.C.RBC....of.units.
DS7B,,Primary.Key,Patient.ID,FINAL.PATHOLOGY,Date.of.Discharge,DISCHARGE,D.C.Hb,none,none,none,none,none,none,none,none,none,none,none,D.C.Hb
DS7C,,Primary.Key,Patient.ID,PAM.WAITLIST,Date.Waitlisted,PAM.WAITLIST,none,none,none,none,none,none,none,none,none,Surgical.Category..1..2..3.,none,none,Surgical.Category..1..2..3.
DS7C,,Primary.Key,Patient.ID,PAM.ADMISSION,Date.referred.to.CNC,PAM.ADMISSION,none,none,none,none,none,none,none,none,none,Surgical.Category..1..2..3.,none,none,Surgical.Category..1..2..3.
DS7D,,Primary.Key,Patient.ID,PAM.TREATMENT,Date.of.Contact,PAM.INITIAL.CONTACT,none,none,none,none,none,none,none,none,none,none,none,Treatment..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked Specialist.Details..Type...Appt..Date.,none
DS7D,,Primary.Key,Patient.ID,PAM.TREATMENT,Treatment..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked Specialist.Details..Type...Appt..Date.,PAM.TREATMENT,none,none,none,none,none,none,none,none,none,none,none,Treatment..eg..Iron.PO..IV..EPO..GP...Specialist.referral If.Required...DUIT.Appointment.Date DUIT.Booked Specialist.Details..Type...Appt..Date.,none
DS7D,,Primary.Key,Patient.ID,PAM.FOLLOW.UP.PATHOLOGY,Follow.up.Pathology.Date,PAM.FOLLOW.UP.PATHOLOGY,Hb.1,none,RCC.1,MCV.1,Retic,none,none,none,none,none,none,none,Hb.1 RCC.1 MCV.1 Retic
DS7D,,Primary.Key,Patient.ID,PAM.TREATMENT.CURTAIL,Date.referred.to.CNC,PAM.ADMISSION,none,none,none,none,none,none,none,none,none,none,all.cols ((book|treat|tx).*(before|pri).*(assess|complet)),none,none
DS7.E,No Data - Exclude,Primary.Key,Patient.ID,POSTOPERATIVE.PRBC,Surgery.Date,SURGERY,none,none,none,none,none,X0.48hrs.RBC........of.units. X49hrs...D.C.RBC....of.units.,none,none,none,none,none,none,X0.48hrs.RBC........of.units. X49hrs...D.C.RBC....of.units.
DS7E,,Primary.Key,Patient.ID,FINAL.PATHOLOGY,Date.of.Discharge,DISCHARGE,D.C.Hb,none,none,none,none,none,none,none,none,none,none,none,D.C.Hb
